bulba_set_name,bulba_release_date,bulba_abbrev
Base Set,1999-01-09,BS
Jungle,1999-06-16,JU
Fossil,1999-10-10,FO
Base Set 2,2000-02-24,B2
Team Rocket,2000-04-24,TR
Gym Heroes,2000-08-14,G1
Gym Challenge,2000-10-16,G2
Neo Genesis,2000-12-16,N1
Neo Discovery,2001-06-01,N2
Neo Revelation,2001-09-21,N3
Neo Destiny,2002-02-28,N4
Legendary Collection,2002-05-24,LC
Expedition Base Set,2002-09-15,EX
Aquapolis,2003-01-15,AQ
Skyridge,2003-05-12,SK
EX Ruby & Sapphire,2003-07-18,RS
EX Sandstorm,2003-09-18,SS
EX Dragon,2003-11-24,DR
EX Team Magma vs Team Aqua,2004-03-15,MA
EX Hidden Legends,2004-06-14,HL
EX FireRed & LeafGreen,2004-08-30,RG
EX Team Rocket Returns,2004-11-08,TRR
EX Deoxys,2005-02-14,DX
EX Emerald,2005-05-09,EM
EX Unseen Forces,2005-08-22,UF
EX Delta Species,2005-10-31,DS
EX Legend Maker,2006-02-13,LM
EX Holon Phantoms,2006-05-03,HP
EX Crystal Guardians,2006-08-30,CG
EX Dragon Frontiers,2006-11-08,DF
EX Power Keepers,2007-02-14,PK
Diamond & Pearl,2007-05-23,DP
Diamond & Pearl—Mysterious Treasures,2007-08-22,MT
Diamond & Pearl—Secret Wonders,2007-11-07,SW
Diamond & Pearl—Great Encounters,2008-02-13,GE
Diamond & Pearl—Majestic Dawn,2008-05-21,MD
Diamond & Pearl—Legends Awakened,2008-08-20,LA
Diamond & Pearl—Stormfront,2008-11-05,SF
Platinum,2009-02-11,PL
Platinum—Rising Rivals,2009-05-16,RR
Platinum—Supreme Victors,2009-08-19,SV
Platinum—Arceus,2009-11-04,AR
HeartGold & SoulSilver,2010-02-10,HS
HS—Unleashed,2010-05-12,UL
HS—Undaunted,2010-08-18,UD
HS—Triumphant,2010-11-03,TM
Pokémon TCG: Call of Legends,2011-02-09,CL
Black & White,2011-04-25,BLW
Black & White—Emerging Powers,2011-08-31,EPO
Black & White—Noble Victories,2011-11-16,NVI
Black & White—Next Destinies,2012-02-08,NXD
Black & White—Dark Explorers,2012-05-09,DEX
Black & White—Dragons Exalted,2012-08-15,DRX
Dragon Vault,2012-10-05,DRV
Black & White—Boundaries Crossed,2012-11-07,BCR
Black & White—Plasma Storm,2013-02-06,PLS
Black & White—Plasma Freeze,2013-05-08,PLF
Black & White—Plasma Blast,2013-08-14,PLB
Black & White—Legendary Treasures,2013-11-06,LTR
XY—Kalos Starter Set,2013-11-08,KSS
XY,2014-02-05,XY
XY—Flashfire,2014-05-07,FLF
XY—Furious Fists,2014-08-13,FFI
XY—Phantom Forces,2014-11-05,PHF
XY—Primal Clash,2015-02-04,PRC
Double Crisis,2015-03-25,DCR
XY—Roaring Skies,2015-05-06,ROS
XY—Ancient Origins,2015-08-12,AOR
XY—BREAKthrough,2015-11-04,BKT
XY—BREAKpoint,2016-02-03,BKP
Generations,2016-02-22,GEN
XY—Fates Collide,2016-05-02,FCO
XY—Steam Siege,2016-08-03,STS
XY—Evolutions,2016-11-02,EVO
Sun & Moon,2017-02-03,SUM
Sun & Moon—Guardians Rising,2017-05-05,GRI
Sun & Moon—Burning Shadows,2017-08-04,BUS
