card_id,name,supertype,subtype_primary,subtypes_all,type_primary,types_all,hp,evolves_from,rarity,artist,regulation_mark,national_pokedex_first,converted_retreat_cost,set_id,set_name,set_series,set_release_date,set_total,set_printed_total,tcgplayer_updated_at,price_usd,price_kind,cardmarket_avg_sell_eur,cardmarket_trend_eur,release_year
base1-1,Alakazam,Pokémon,Stage 2,Stage 2,Psychic,Psychic,80.0,Kadabra,Rare Holo,Ken Sugimori,Unknown,65.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,61.24,holofoil,139.99,197.0,1999
base1-2,Blastoise,Pokémon,Stage 2,Stage 2,Water,Water,100.0,Wartortle,Rare Holo,Ken Sugimori,Unknown,9.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,183.48,holofoil,99.99,125.11,1999
base1-3,Chansey,Pokémon,Basic,Basic,Colorless,Colorless,120.0,,Rare Holo,Ken Sugimori,Unknown,113.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,49.17,holofoil,21.63,78.98,1999
base1-4,Charizard,Pokémon,Stage 2,Stage 2,Fire,Fire,120.0,Charmeleon,Rare Holo,Mitsuhiro Arita,Unknown,6.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,494.23,holofoil,1496.67,1468.78,1999
base1-5,Clefairy,Pokémon,Basic,Basic,Colorless,Colorless,40.0,,Rare Holo,Ken Sugimori,Unknown,35.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,28.43,holofoil,29.16,30.63,1999
base1-6,Gyarados,Pokémon,Stage 1,Stage 1,Water,Water,100.0,Magikarp,Rare Holo,Mitsuhiro Arita,Unknown,130.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,42.71,holofoil,24.02,24.3,1999
base1-7,Hitmonchan,Pokémon,Basic,Basic,Fighting,Fighting,70.0,,Rare Holo,Ken Sugimori,Unknown,107.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,18.53,holofoil,67.97,60.39,1999
base1-8,Machamp,Pokémon,Stage 2,Stage 2,Fighting,Fighting,100.0,Machoke,Rare Holo,Ken Sugimori,Unknown,68.0,3.0,base1,Base,Base,1999-01-09,102,102,2023/03/27,,,103.72,85.27,1999
base1-9,Magneton,Pokémon,Stage 1,Stage 1,Lightning,Lightning,60.0,Magnemite,Rare Holo,Keiji Kinebuchi,Unknown,82.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,34.08,holofoil,24.9,22.01,1999
base1-10,Mewtwo,Pokémon,Basic,Basic,Psychic,Psychic,60.0,,Rare Holo,Ken Sugimori,Unknown,150.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,68.83,holofoil,181.65,103.18,1999
base1-11,Nidoking,Pokémon,Stage 2,Stage 2,Grass,Grass,90.0,Nidorino,Rare Holo,Ken Sugimori,Unknown,34.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,36.58,holofoil,111.33,99.06,1999
base1-12,Ninetales,Pokémon,Stage 1,Stage 1,Fire,Fire,80.0,Vulpix,Rare Holo,Ken Sugimori,Unknown,38.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,36.35,holofoil,17.33,11.71,1999
base1-13,Poliwrath,Pokémon,Stage 2,Stage 2,Water,Water,90.0,Poliwhirl,Rare Holo,Ken Sugimori,Unknown,62.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,28.17,holofoil,21.2,70.81,1999
base1-14,Raichu,Pokémon,Stage 1,Stage 1,Lightning,Lightning,80.0,Pikachu,Rare Holo,Ken Sugimori,Unknown,26.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,63.29,holofoil,230.0,138.67,1999
base1-15,Venusaur,Pokémon,Stage 2,Stage 2,Grass,Grass,100.0,Ivysaur,Rare Holo,Mitsuhiro Arita,Unknown,3.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,143.73,holofoil,724.75,338.48,1999
base1-16,Zapdos,Pokémon,Basic,Basic,Lightning,Lightning,90.0,,Rare Holo,Ken Sugimori,Unknown,145.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,52.51,holofoil,31.37,64.88,1999
base1-17,Beedrill,Pokémon,Stage 2,Stage 2,Grass,Grass,80.0,Kakuna,Rare,Ken Sugimori,Unknown,15.0,,base1,Base,Base,1999-01-09,102,102,2026/03/26,5.12,normal,15.85,25.85,1999
base1-18,Dragonair,Pokémon,Stage 1,Stage 1,Colorless,Colorless,80.0,Dratini,Rare,Mitsuhiro Arita,Unknown,148.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,13.28,normal,40.06,101.16,1999
base1-19,Dugtrio,Pokémon,Stage 1,Stage 1,Fighting,Fighting,70.0,Diglett,Rare,Keiji Kinebuchi,Unknown,51.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,8.39,normal,7.88,9.13,1999
base1-20,Electabuzz,Pokémon,Basic,Basic,Lightning,Lightning,70.0,,Rare,Ken Sugimori,Unknown,125.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,13.34,normal,6.65,7.44,1999
base1-21,Electrode,Pokémon,Stage 1,Stage 1,Lightning,Lightning,80.0,Voltorb,Rare,Keiji Kinebuchi,Unknown,101.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,6.6,normal,22.99,27.43,1999
base1-22,Pidgeotto,Pokémon,Stage 1,Stage 1,Colorless,Colorless,60.0,Pidgey,Rare,Ken Sugimori,Unknown,17.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,9.8,normal,32.66,42.39,1999
base1-23,Arcanine,Pokémon,Stage 1,Stage 1,Fire,Fire,100.0,Growlithe,Uncommon,Ken Sugimori,Unknown,59.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,3.25,normal,5.08,4.66,1999
base1-24,Charmeleon,Pokémon,Stage 1,Stage 1,Fire,Fire,80.0,Charmander,Uncommon,Mitsuhiro Arita,Unknown,5.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.61,normal,3.81,5.27,1999
base1-25,Dewgong,Pokémon,Stage 1,Stage 1,Water,Water,80.0,Seel,Uncommon,Mitsuhiro Arita,Unknown,87.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.56,normal,11.66,12.87,1999
base1-26,Dratini,Pokémon,Basic,Basic,Colorless,Colorless,40.0,,Uncommon,Ken Sugimori,Unknown,147.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.58,normal,12.0,18.19,1999
base1-27,Farfetch'd,Pokémon,Basic,Basic,Colorless,Colorless,50.0,,Uncommon,Ken Sugimori,Unknown,83.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.46,normal,2.29,2.17,1999
base1-28,Growlithe,Pokémon,Basic,Basic,Fire,Fire,60.0,,Uncommon,Ken Sugimori,Unknown,58.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.28,normal,18.64,10.17,1999
